Rk,Player,Nation,Pos,Team,Comp,Age,90s,Min,Ht.,Wt.,Ast,Blocks,Carries,Clr,Cmp%,CS,CS%,Dis,Err,G+A,G-PK,GA,Gls,Int,KP,Mis,npxG,PKA,PKsv,PPA,PrgC,PrgP,PrgR,Recov,Save%,Saves,Tkl,Tkl+Int,TklW,Touches,xAG,xG
2958,Dimitri Payet,FRA,MFFW,Vasco da Gama,Série A,36,13.6,1220,ND,ND,3,2,516,2,80.2,,,25,0,6,2,,3,9,29,25,1.0,,,20,24,100,79,60,,,12,21,9,896,2.6,1.8
2959,Cristian Pavón,ARG,FWMF,Grêmio,Série A,28,12.1,1087,ND,ND,3,12,398,11,69.8,,,28,0,4,1,,1,9,18,18,2.5,,,22,29,43,93,54,,,13,22,8,621,2.3,2.5
2960,Caio Paulista,BRA,DF,Palmeiras,Série A,25,13.3,1201,ND,ND,0,15,519,23,81.8,,,11,1,0,0,,0,9,13,27,0.5,,,14,39,74,80,80,,,29,38,21,929,0.9,0.5
2961,Paulinho,BRA,FWMF,Atlético Mineiro,Série A,23,22.1,1991,ND,ND,1,14,677,15,86.2,,,41,0,9,7,,8,6,32,44,5.1,,,18,54,79,158,94,,,25,31,15,1060,1.6,5.9
2962,Patryck,BRA,DF,São Paulo,Série A,21,6.8,615,ND,ND,0,5,210,8,78.7,,,5,0,0,0,,0,7,3,6,0.0,,,8,11,22,29,21,,,20,27,10,411,0.1,0.0
2963,Alan Patrick,BRA,MFFW,Internacional,Série A,32,19.7,1777,ND,ND,3,17,670,3,78.2,,,48,0,11,4,,8,2,80,36,3.0,,,41,36,126,105,88,,,23,25,17,1147,8.4,7.0
2964,Brahian Palacios,COL,DFMF,Atlético Mineiro,Série A,21,8.9,801,ND,ND,3,12,266,10,80.1,,,19,0,5,1,,2,6,12,27,1.6,,,15,40,23,103,37,,,13,19,9,465,1.1,2.4
2965,Bruno Pacheco,BRA,DF,Fortaleza,Série A,32,13.2,1185,ND,ND,1,11,312,37,72.1,,,16,1,2,1,,1,14,7,10,0.4,,,6,20,37,16,58,,,30,44,16,688,0.8,0.4
2966,Pablo,BRA,FWMF,Ath Paranaense,Série A,31,18.9,1703,ND,ND,2,7,315,17,74.4,,,17,1,5,3,,3,3,23,30,3.7,,,12,12,52,66,59,,,16,19,13,596,1.8,3.7
2967,Luis Oyama,BRA,MF,Juventude,Série A,27,7.6,684,ND,ND,1,7,218,11,82.9,,,3,0,3,2,,2,15,4,7,0.6,,,7,8,28,15,51,,,17,32,10,400,0.7,0.6
2968,Otávio,BRA,MF,Atlético Mineiro,Série A,29,21.3,1917,ND,ND,0,31,799,30,89.7,,,12,0,0,0,,0,22,8,15,0.2,,,5,18,90,17,100,,,57,79,30,1372,0.2,0.2
2969,Osvaldo,BRA,MFFW,Vitória,Série A,36,11.9,1072,ND,ND,0,10,307,5,71.6,,,20,0,2,1,,2,6,19,23,1.7,,,11,29,37,91,53,,,8,14,7,442,1.6,2.4
2970,Leo Ortiz,BRA,DFMF,Flamengo,Série A,28,20.9,1878,ND,ND,2,17,707,56,87.1,,,5,1,3,1,,1,16,16,7,1.1,,,12,16,138,10,86,,,31,47,14,1271,1.2,1.1
2971,Cauly Oliveira Souza,BRA,MFFW,Bahia,Série A,28,29.7,2676,ND,ND,6,12,987,13,79.9,,,38,0,10,4,,4,7,70,77,3.5,,,32,65,138,179,77,,,14,21,6,1564,5.4,3.5
2972,Gustavo Nunes,BRA,FWMF,Grêmio,Série A,18,13.8,1238,ND,ND,1,14,447,7,72.0,,,41,0,4,3,,3,2,13,47,1.9,,,21,52,48,99,66,,,17,19,12,682,1.3,1.9
2973,Nikão,BRA,FWMF,Ath Paranaense,Série A,31,18.0,1624,ND,ND,2,11,535,9,78.9,,,23,0,8,6,,6,9,50,40,3.6,,,22,32,89,135,83,,,28,37,17,944,2.9,3.6
2974,Newton,BRA,MF,Criciúma,Série A,23,25.5,2299,ND,ND,1,16,705,61,79.2,,,19,1,2,1,,1,32,14,41,1.6,,,12,35,80,58,106,,,52,84,31,1267,1.0,1.6
2975,Rodrigo Nestor,BRA,MFFW,São Paulo,Série A,23,10.9,984,ND,ND,2,7,388,7,78.6,,,11,0,2,0,,0,11,15,13,1.1,,,12,29,50,59,54,,,15,26,9,666,1.4,1.1
2976,Neris,BRA,DF,2 Teams,Série A,31,18.5,1663,ND,ND,0,23,556,96,85.4,,,5,0,1,1,,1,14,0,11,0.3,,,3,10,43,1,59,,,33,47,18,974,0.0,0.3
2977,Nenê,BRA,MFFW,Juventude,Série A,42,16.7,1506,1.83,78.0,4,8,407,6,60.6,,,16,0,7,3,,3,4,47,35,1.7,,,21,23,73,92,57,,,10,14,9,801,4.3,1.7
2978,Kaiky Naves,BRA,DF,Palmeiras,Série A,21,8.1,733,ND,ND,0,11,268,34,83.5,,,0,0,0,0,,0,17,5,5,0.1,,,2,2,41,2,25,,,26,43,15,509,0.3,0.1
2979,Nata,BRA,DF,Grêmio,Série A,22,5.6,506,ND,ND,0,11,97,38,83.7,,,1,0,0,0,,0,7,0,0,0.0,,,0,0,9,0,12,,,8,15,4,240,0.0,0.0
2980,Léo Naldi,BRA,MF,Vitória,Série A,22,12.3,1103,ND,ND,0,21,309,23,80.5,,,8,1,0,0,,0,17,7,16,0.5,,,2,13,45,18,53,,,38,55,24,555,0.2,0.5
2981,Lucas Moura,BRA,FWMF,São Paulo,Série A,31,25.0,2246,ND,ND,6,17,862,27,78.7,,,42,0,16,8,,10,21,40,64,3.6,,,33,87,131,173,102,,,27,48,16,1369,3.2,5.2
2982,Hugo Moura,BRA,MF,Vasco da Gama,Série A,26,23.5,2114,ND,ND,4,26,739,37,84.4,,,14,1,5,1,,1,22,17,18,1.9,,,10,22,114,27,94,,,74,96,53,1289,0.9,1.9
2983,Jean Mota,BRA,MFFW,Vitória,Série A,30,4.6,416,ND,ND,0,1,168,7,74.6,,,5,0,1,1,,1,0,9,8,0.5,,,7,3,28,19,23,,,5,5,3,288,0.8,0.5
2984,Gustavo Mosquito,BRA,FWMF,2 Teams,Série A,26,13.3,1200,ND,ND,3,6,263,10,77.3,,,20,0,5,1,,2,8,18,18,1.8,,,15,32,31,87,50,,,19,27,10,421,2.3,2.6
2985,Henry Mosquera,COL,FWMF,RB Bragantino,Série A,22,21.5,1934,ND,ND,2,9,530,6,77.6,,,35,0,3,1,,1,9,34,66,4.3,,,26,97,38,154,90,,,23,32,11,778,2.1,4.3
2986,Aníbal Moreno,ARG,MF,Palmeiras,Série A,24,28.0,2517,ND,ND,1,26,834,32,83.8,,,20,1,2,1,,1,43,24,37,0.9,,,12,25,167,27,173,,,56,99,37,1694,1.1,0.9
2987,Miguel Monsalve,COL,FWMF,Grêmio,Série A,19,10.9,978,ND,ND,1,5,335,7,85.6,,,20,0,4,3,,3,0,11,23,2.6,,,13,35,44,41,37,,,11,11,6,482,1.0,2.6
2988,Moises,BRA,FWMF,Fortaleza,Série A,27,13.0,1171,ND,ND,2,7,257,11,67.7,,,21,0,9,7,,7,5,19,33,5.8,,,8,50,25,79,41,,,6,11,4,435,2.7,5.8
2989,Lucas Mineiro,BRA,MF,Cuiabá,Série A,27,26.0,2338,ND,ND,0,43,651,57,86.3,,,20,1,0,0,,0,10,8,25,0.6,,,2,18,85,12,100,,,61,71,35,1232,0.2,0.6
2990,Michael,BRA,FWMF,Flamengo,Série A,27,7.3,653,ND,ND,1,5,198,5,72.7,,,6,0,5,4,,4,2,12,15,3.6,,,12,25,19,104,14,,,9,11,6,303,1.5,3.6
2991,Higor Meritão,BRA,MF,Criciúma,Série A,29,11.6,1040,ND,ND,0,17,349,22,89.0,,,21,1,2,2,,2,22,2,14,1.3,,,3,10,52,13,73,,,30,52,17,638,0.1,1.3
2992,Gabriel Mercado,ARG,DF,Internacional,Série A,36,13.2,1186,ND,ND,0,7,490,37,89.2,,,0,0,1,1,,1,10,4,3,0.3,,,0,2,32,2,43,,,17,27,6,820,0.7,0.3
2993,Gabriel Menino,BRA,MFFW,Palmeiras,Série A,23,11.9,1067,ND,ND,0,16,425,13,76.8,,,16,0,1,1,,1,11,25,22,2.1,,,14,25,73,70,52,,,28,39,17,792,1.4,2.1
2994,Vinicius Mendonça,BRA,FW,RB Bragantino,Série A,19,8.0,718,ND,ND,0,10,215,7,73.2,,,19,0,2,2,,2,2,12,27,1.7,,,10,32,22,68,44,,,18,20,16,323,0.9,1.7
2995,Nathan Mendes,BRA,DF,RB Bragantino,Série A,21,12.9,1165,ND,ND,1,11,380,27,76.1,,,8,0,1,0,,0,11,10,14,0.5,,,6,17,51,31,70,,,25,36,15,800,0.9,0.5
2996,Douglas Mendes,BRA,DF,RB Bragantino,Série A,19,15.0,1346,ND,ND,0,16,357,67,73.5,,,0,0,2,2,,2,17,2,10,1.6,,,2,9,29,2,52,,,25,42,17,748,0.1,1.6
2997,Memphis,NED,FW,Corinthians,Série A,29,8.8,793,ND,ND,1,4,252,3,80.2,,,20,0,8,6,,7,2,13,23,2.9,,,8,24,31,62,26,,,9,11,7,382,0.9,3.7
2998,Felipe Melo,BRA,DF,Fluminense,Série A,40,4.6,416,ND,ND,0,5,150,26,86.1,,,4,1,0,0,,0,7,0,4,0.0,,,0,0,9,0,14,,,5,12,3,277,0.0,0.0
2999,Mayke,BRA,DF,Palmeiras,Série A,31,11.5,1035,ND,ND,0,13,431,28,82.0,,,5,2,1,1,,1,23,16,9,1.2,,,15,20,73,65,63,,,36,59,20,850,1.0,1.2
3000,Max,BRA,MF,Cuiabá,Série A,22,13.5,1217,ND,ND,0,16,332,11,71.8,,,15,0,1,1,,1,16,17,28,1.1,,,16,20,58,50,63,,,17,33,12,676,1.5,1.1
3001,Mauricio,BRA,MF,2 Teams,Série A,22,16.8,1513,ND,ND,0,10,420,11,77.2,,,12,0,3,3,,3,6,27,22,3.8,,,12,20,53,131,62,,,18,24,11,731,1.8,3.8
3002,Matheuzinho,BRA,DF,Corinthians,Série A,23,24.9,2244,ND,ND,1,28,781,65,83.3,,,6,2,2,1,,1,26,28,17,1.7,,,28,43,99,124,99,,,54,80,41,1543,1.6,1.7
3003,Matheusinho,BRA,MF,Criciúma,Série A,25,17.6,1585,ND,ND,3,16,560,12,74.2,,,31,0,8,5,,5,10,31,51,4.0,,,37,21,88,114,102,,,19,29,10,884,2.2,4.0
3004,Matheusinho,BRA,MFFW,Vitória,Série A,26,27.4,2469,ND,ND,5,15,813,7,78.6,,,43,1,10,5,,5,24,37,70,3.5,,,17,55,98,114,143,,,43,67,31,1228,3.4,3.5
3005,Fellipe Mateus,BRA,MFFW,Criciúma,Série A,32,21.0,1887,ND,ND,0,23,539,22,79.3,,,33,0,3,3,,3,15,20,46,1.9,,,5,17,60,108,96,,,32,47,17,983,0.9,1.9
3006,Gonzalo Mastriani,URU,FW,Ath Paranaense,Série A,30,10.0,900,ND,ND,0,8,127,12,67.6,,,13,0,4,4,,4,3,9,12,3.9,,,4,2,17,40,40,,,15,18,7,299,0.9,3.9
3007,Gustavo Martins Santos,BRA,DF,Grêmio,Série A,21,15.3,1377,ND,ND,0,21,522,69,86.4,,,1,0,2,2,,2,15,0,10,2.1,,,0,1,45,5,59,,,23,38,14,949,0.0,2.1
3008,Matheus Martins,BRA,FWMF,Botafogo (RJ),Série A,20,5.1,456,ND,ND,0,7,156,4,78.1,,,14,1,2,2,,2,7,8,17,1.6,,,8,26,22,49,18,,,9,16,5,228,1.0,1.6
3009,Adriano Martins,BRA,DF,Atl Goianiense,Série A,26,33.2,2990,ND,ND,0,41,898,156,83.9,,,3,1,0,0,,0,54,4,19,1.4,,,3,24,106,9,115,,,43,97,32,1767,0.1,1.4
3010,Martinelli,BRA,MFDF,Fluminense,Série A,22,29.4,2644,ND,ND,1,43,1106,50,88.9,,,46,0,2,1,,1,22,17,41,1.0,,,8,29,121,35,139,,,43,65,28,1958,0.9,1.0
3011,Juan Martín Lucero,ARG,FW,Fortaleza,Série A,32,25.0,2246,ND,ND,3,10,292,22,75.5,,,25,0,11,6,,8,0,18,45,4.1,,,9,13,27,93,53,,,17,17,8,557,2.2,6.3
3012,Marquinhos,BRA,FWDF,Fluminense,Série A,20,14.1,1270,ND,ND,1,21,516,17,76.1,,,30,0,1,0,,0,11,18,44,0.9,,,14,57,36,118,52,,,26,37,13,874,2.3,0.9
3013,Marlon,BRA,DF,Cruzeiro,Série A,26,24.2,2179,ND,ND,1,31,851,62,77.5,,,8,2,1,0,,0,28,29,31,0.6,,,21,55,98,115,104,,,46,74,30,1646,2.0,0.6
3014,Marinho,BRA,FW,Fortaleza,Série A,33,15.0,1348,ND,ND,3,21,399,11,70.3,,,22,1,7,4,,4,8,17,51,2.2,,,14,55,54,89,66,,,28,36,20,649,1.8,2.2
3015,Mariano,BRA,DF,Atlético Mineiro,Série A,37,7.1,636,ND,ND,0,3,227,22,78.6,,,3,0,0,0,,0,5,9,1,0.0,,,7,6,37,5,31,,,14,19,9,520,0.6,0.0
3016,Zé Marcos,BRA,DF,Juventude,Série A,25,21.7,1951,ND,ND,0,25,690,110,82.5,,,6,1,0,0,,0,18,4,7,0.8,,,0,5,40,1,80,,,30,48,16,1248,0.1,0.8
3017,João Marcelo,BRA,DF,Cruzeiro,Série A,23,29.9,2692,ND,ND,2,35,1215,154,90.9,,,7,1,2,0,,0,39,12,14,0.8,,,4,43,135,9,107,,,35,74,23,2046,0.8,0.8
3018,Marcelo,BRA,DF,Fluminense,Série A,35,11.6,1044,ND,ND,1,14,486,18,77.0,,,9,0,2,0,,1,8,14,10,0.5,,,12,18,82,28,59,,,25,33,19,863,1.8,1.3
3019,Marcelinho,BRA,FWMF,Juventude,Série A,21,11.1,1002,ND,ND,3,4,239,7,67.4,,,17,0,5,2,,2,10,15,20,2.3,,,7,19,29,66,49,,,12,22,7,415,0.5,2.3
3020,Fernando Marçal,BRA,DF,Botafogo (RJ),Série A,34,11.3,1014,ND,ND,0,9,347,42,78.0,,,7,0,1,1,,1,22,8,8,0.3,,,7,18,59,54,40,,,28,50,15,810,0.7,0.3
3021,José Manuel López,ARG,FW,Palmeiras,Série A,23,23.8,2140,ND,ND,2,26,355,14,57.9,,,28,0,12,10,,10,3,19,56,9.4,,,12,32,41,111,54,,,14,17,7,669,3.0,9.4
3022,Manoel,BRA,DF,Fluminense,Série A,33,11.6,1047,ND,ND,0,15,364,45,88.7,,,0,0,0,0,,0,6,1,8,0.1,,,0,0,17,0,31,,,14,20,7,647,0.1,0.1
3023,Luis Mandaca,BRA,MF,Juventude,Série A,22,12.2,1101,ND,ND,2,21,244,9,73.5,,,23,0,6,4,,4,5,19,22,4.9,,,9,24,41,59,40,,,22,27,12,502,1.6,4.9
3024,Eros Mancuso,ARG,DFFW,Fortaleza,Série A,24,10.3,923,ND,ND,2,14,261,25,75.7,,,14,0,3,1,,1,8,11,15,0.6,,,10,13,32,37,46,,,24,32,17,552,0.7,0.6
3025,Maicon,BRA,DF,Vasco da Gama,Série A,35,26.1,2351,ND,ND,0,45,757,159,79.7,,,2,0,1,1,,1,29,5,10,0.7,,,4,3,72,2,89,,,42,71,26,1512,0.4,0.7
3026,Walisson Maia,BRA,DF,Criciúma,Série A,32,10.6,955,ND,ND,1,12,261,55,77.7,,,2,2,1,0,,0,12,3,3,0.3,,,0,2,14,2,28,,,10,22,8,508,0.7,0.3
3027,Thiago Maia,BRA,MF,Internacional,Série A,26,21.1,1896,ND,ND,4,21,589,32,85.0,,,9,2,6,2,,2,30,20,29,2.3,,,16,22,104,51,135,,,40,70,29,1249,2.5,2.3
3028,Maguinho,BRA,DF,Atl Goianiense,Série A,31,17.3,1559,ND,ND,1,17,491,34,72.5,,,9,0,1,0,,0,17,23,22,0.7,,,17,29,52,80,69,,,31,48,12,1045,1.2,0.7
3029,Talles Magno,BRA,FWMF,Corinthians,Série A,21,5.4,487,ND,ND,1,10,162,5,78.1,,,12,0,3,2,,2,3,7,16,2.5,,,3,17,16,38,28,,,6,9,4,240,0.8,2.5
3030,Mádson,BRA,DF,Ath Paranaense,Série A,32,10.8,975,ND,ND,1,11,206,32,73.6,,,3,0,1,0,,0,14,15,8,0.7,,,9,11,34,55,32,,,10,24,5,533,1.4,0.7
3031,Imanol Machuca,MAS,FWMF,Fortaleza,Série A,24,4.8,436,ND,ND,1,5,143,0,67.2,,,15,0,2,1,,1,0,12,13,0.8,,,8,25,14,34,25,,,8,8,6,234,1.0,0.8
3032,Machado,BRA,MF,2 Teams,Série A,28,11.0,989,ND,ND,0,10,303,17,80.7,,,11,0,0,0,,0,18,13,9,0.4,,,6,4,46,11,54,,,21,39,12,620,0.6,0.4
3033,Lyanco,BRA,DF,Atlético Mineiro,Série A,26,10.2,920,ND,ND,0,16,401,40,85.7,,,2,1,0,0,,0,18,3,7,0.2,,,6,9,37,3,46,,,15,33,11,699,0.2,0.2
3034,David Luiz,BRA,DF,Flamengo,Série A,36,19.5,1756,ND,ND,0,19,787,74,87.4,,,4,1,3,3,,3,15,7,12,1.1,,,7,32,104,6,54,,,11,26,8,1226,0.4,1.9
3035,Victor Luis,BRA,DF,Vasco da Gama,Série A,30,4.9,442,ND,ND,1,5,167,17,79.1,,,4,0,2,1,,1,7,5,4,0.4,,,4,9,17,22,18,,,14,21,9,358,0.4,0.4
3036,André Luis,BRA,FWMF,Cuiabá,Série A,26,5.5,499,ND,ND,0,5,131,4,80.2,,,6,0,0,0,,0,1,2,15,0.5,,,3,7,15,47,16,,,9,10,6,241,0.2,0.5
3037,Luciano,BRA,MFFW,São Paulo,Série A,30,25.6,2302,ND,ND,2,23,719,11,85.2,,,28,0,13,10,,11,9,23,28,5.3,,,16,24,92,126,110,,,26,35,16,1112,2.4,7.1
3038,João Lucas,BRA,DF,Juventude,Série A,25,28.5,2569,ND,ND,6,28,826,55,68.5,,,13,0,7,1,,1,28,43,27,1.0,,,42,72,107,140,135,,,74,102,38,1697,4.4,1.0
3039,Jean Lucas,BRA,MF,Bahia,Série A,25,32.2,2901,ND,ND,6,33,990,21,84.8,,,51,1,9,3,,3,23,20,54,5.4,,,18,53,126,149,160,,,50,73,30,1597,2.8,5.4
3040,Ayrton Lucas,BRA,DF,Flamengo,Série A,26,26.6,2393,ND,ND,3,23,917,38,80.6,,,25,0,6,3,,3,16,23,35,1.6,,,14,60,106,133,132,,,49,65,32,1688,2.1,1.6
3041,Lorran,BRA,MFFW,Flamengo,Série A,17,7.8,706,ND,ND,1,6,271,1,76.6,,,15,0,2,1,,1,2,14,19,2.0,,,16,32,39,61,31,,,17,19,15,417,0.9,2.0
3042,Lincoln,BRA,MFFW,RB Bragantino,Série A,25,17.2,1552,ND,ND,2,22,514,18,74.9,,,14,1,5,2,,3,10,31,24,1.7,,,21,29,96,88,71,,,33,43,21,932,3.0,2.5
3043,Lima,BRA,MFFW,Fluminense,Série A,27,20.5,1847,ND,ND,1,17,723,12,86.2,,,28,1,5,4,,4,20,20,38,2.8,,,5,31,63,73,105,,,39,59,20,1231,0.8,2.8
3044,Willean Lepo,BRA,DF,Vitória,Série A,27,19.9,1789,ND,ND,0,28,657,64,75.9,,,19,1,0,0,,0,30,22,39,0.9,,,15,52,78,50,106,,,67,97,48,1273,1.5,0.9
3045,Leandrinho,BRA,DFFW,Vasco da Gama,Série A,18,6.0,541,ND,ND,1,10,179,19,79.9,,,1,0,2,1,,1,3,3,9,0.1,,,3,9,16,38,27,,,12,15,8,400,0.1,0.1
3046,Lázaro,BRA,FWMF,Palmeiras,Série A,21,8.6,773,ND,ND,0,8,246,4,74.4,,,12,0,2,2,,2,0,10,14,2.7,,,9,28,41,72,27,,,7,7,3,378,0.5,2.7
3047,Derik Lacerda,BRA,FWMF,Cuiabá,Série A,24,15.8,1420,ND,ND,0,18,307,13,77.7,,,24,0,4,4,,4,3,15,39,3.3,,,6,36,24,79,43,,,20,23,11,509,2.1,3.3
3048,Matías Lacava,VEN,FWMF,Atl Goianiense,Série A,21,5.3,478,ND,ND,0,2,159,2,71.2,,,13,1,0,0,,0,3,11,14,0.9,,,8,22,12,45,22,,,13,16,9,232,0.4,0.9
3049,Benjamín Kuscevic,CHI,DF,Fortaleza,Série A,27,20.6,1858,ND,ND,0,38,558,128,85.5,,,3,2,2,2,,2,20,3,12,1.3,,,1,4,37,5,62,,,31,51,18,1086,0.4,1.3
3050,Keno,BRA,FWMF,Fluminense,Série A,34,15.5,1397,ND,ND,1,12,439,17,71.3,,,18,1,2,1,,1,8,20,36,2.7,,,19,62,41,164,44,,,32,40,17,692,1.1,2.7
3051,John Kennedy,BRA,FWMF,Fluminense,Série A,21,7.5,674,ND,ND,0,6,166,8,78.4,,,15,0,0,0,,0,0,5,38,1.3,,,3,12,10,71,13,,,5,5,3,280,0.1,1.3
3052,Renato Kayser,BRA,FW,2 Teams,Série A,27,13.3,1197,ND,ND,1,11,214,16,67.9,,,13,0,7,5,,6,2,13,38,5.8,,,4,20,27,43,39,,,15,17,7,414,1.3,6.6
3053,Alan Kardec,BRA,FW,Atlético Mineiro,Série A,35,4.6,410,ND,ND,0,3,60,8,68.5,,,10,0,0,0,,0,1,6,17,1.0,,,3,1,7,13,10,,,4,5,3,128,0.5,1.0
3054,Kanu,BRA,DF,Bahia,Série A,26,30.0,2700,ND,ND,0,36,1346,88,94.2,,,6,2,0,0,,0,33,1,9,0.3,,,1,18,78,1,103,,,33,66,18,2076,0.0,0.3
3055,Walter Kannemann,ARG,DF,Grêmio,Série A,32,11.1,1000,ND,ND,2,16,208,52,79.5,,,3,0,2,0,,0,19,2,4,0.6,,,0,2,21,0,31,,,18,37,12,478,0.8,0.6
3056,Lucas Kal,BRA,MFDF,Atl Goianiense,Série A,27,12.8,1156,ND,ND,1,13,345,21,80.9,,,3,0,1,0,,0,15,1,11,0.3,,,4,7,64,8,45,,,14,29,7,677,0.5,0.3
3057,Kaiki,BRA,DF,Cruzeiro,Série A,20,13.2,1184,ND,ND,0,15,385,39,78.0,,,19,1,1,1,,1,26,9,25,0.5,,,8,31,32,67,60,,,42,68,31,832,1.0,0.5
3058,Julimar,BRA,FWMF,Ath Paranaense,Série A,23,18.5,1665,ND,ND,2,23,483,29,74.9,,,23,0,8,6,,6,16,27,34,5.7,,,19,83,43,173,74,,,32,48,19,848,2.3,5.7
3059,Luciano Juba,BRA,DF,Bahia,Série A,24,34.6,3114,ND,ND,1,24,1377,91,83.2,,,6,0,4,3,,3,52,51,15,1.2,,,45,46,149,107,174,,,48,100,32,2492,4.2,1.2
3060,Kaio Jorge,BRA,FW,Cruzeiro,Série A,22,12.9,1163,ND,ND,2,8,203,12,76.9,,,10,0,4,2,,2,0,13,34,4.5,,,4,20,18,56,21,,,2,2,1,333,1.4,5.3
3061,Jonathan,BRA,DF,Criciúma,Série A,31,7.8,705,ND,ND,1,12,214,23,77.9,,,5,0,1,0,,0,9,10,11,0.1,,,10,8,40,13,36,,,19,28,12,489,0.7,0.1
3062,Felipe Jonatan,BRA,DF,Fortaleza,Série A,25,16.8,1510,ND,ND,0,14,484,67,75.8,,,10,0,0,0,,0,23,11,6,0.7,,,9,15,59,52,76,,,22,45,16,1001,0.6,0.7
3063,Jhon Jhon,BRA,MF,2 Teams,Série A,21,14.4,1299,ND,ND,4,23,395,14,73.2,,,26,0,7,3,,3,7,34,32,2.7,,,17,50,65,88,69,,,29,36,20,657,2.8,2.7
3064,Igor Jesus,BRA,FW,Botafogo (RJ),Série A,22,16.2,1454,ND,ND,3,17,310,9,71.5,,,32,0,8,5,,5,2,21,41,6.8,,,9,20,35,134,48,,,8,10,7,516,2.6,6.8
3065,Caíque de Jesus Gonçalves,BRA,MF,Juventude,Série A,28,15.8,1422,ND,ND,0,19,559,33,90.8,,,7,1,0,0,,0,24,6,6,0.1,,,5,13,59,7,95,,,44,68,24,985,0.3,0.1
3066,Jemerson,BRA,DF,2 Teams,Série A,31,15.0,1346,ND,ND,0,24,373,65,85.6,,,1,0,1,1,,1,13,0,4,0.6,,,1,2,24,2,44,,,21,34,11,704,0.0,0.6
3067,Janderson,BRA,FWMF,Atl Goianiense,Série A,24,10.7,962,ND,ND,0,6,315,3,67.4,,,11,0,3,3,,3,5,18,35,2.5,,,17,35,43,116,49,,,17,22,11,502,1.0,2.5
3068,Jadson,BRA,MF,Juventude,Série A,30,31.6,2843,ND,ND,5,33,882,19,83.6,,,30,2,6,1,,1,37,57,36,1.7,,,18,21,182,82,210,,,90,127,51,1686,3.7,1.7
3069,Jadsom,BRA,MFDF,RB Bragantino,Série A,22,18.5,1663,ND,ND,1,15,435,42,78.2,,,6,0,1,0,,0,27,10,20,0.2,,,10,11,89,16,85,,,67,94,41,976,0.6,0.2
3070,Zé Ivaldo,BRA,DF,Cruzeiro,Série A,26,26.2,2361,ND,ND,0,30,935,120,79.3,,,3,3,1,1,,1,19,5,12,1.2,,,4,23,80,7,118,,,29,48,17,1629,0.4,1.2
3071,Gabriel Inocêncio,BRA,DF,Juventude,Série A,29,9.8,883,ND,ND,1,7,298,27,81.3,,,11,0,1,0,,0,9,7,21,0.1,,,5,22,25,32,61,,,30,39,19,601,0.7,0.1
3072,Iago,BRA,DFMF,Bahia,Série A,26,4.5,408,ND,ND,0,7,206,11,86.6,,,1,0,0,0,,0,7,4,6,0.8,,,3,15,22,23,22,,,11,18,8,355,1.1,0.8
3073,José Hurtado,ECU,DF,RB Bragantino,Série A,22,14.7,1325,ND,ND,2,11,389,55,72.4,,,6,1,2,0,,0,19,13,20,0.2,,,10,39,56,70,59,,,23,42,15,874,2.2,0.2
3074,Hulk,BRA,FWMF,Atlético Mineiro,Série A,37,21.0,1892,ND,ND,5,8,555,14,74.9,,,62,0,15,6,,10,1,25,61,5.6,,,22,38,60,143,50,,,10,11,5,897,1.9,9.5
3075,José Hugo,BRA,MFFW,Vitória,Série A,24,7.0,632,ND,ND,2,7,231,5,65.8,,,26,0,3,1,,1,6,9,33,1.5,,,9,34,17,75,39,,,14,20,11,326,0.9,1.5
3076,Hugo,BRA,DF,Corinthians,Série A,26,20.2,1822,ND,ND,4,19,485,71,78.0,,,13,0,4,0,,0,21,18,24,0.8,,,4,26,72,65,77,,,53,74,25,1157,1.6,0.8
3077,Hugo,BRA,DF,Botafogo (RJ),Série A,22,4.9,443,ND,ND,1,4,139,11,77.9,,,0,0,1,0,,0,5,6,9,0.3,,,8,9,22,15,22,,,11,16,7,296,1.0,0.3
3078,Marcelo Hermes,BRA,DFMF,Criciúma,Série A,28,35.6,3205,ND,ND,5,41,809,112,67.7,,,14,0,7,2,,2,41,59,27,1.6,,,34,51,132,134,119,,,58,99,33,1911,3.0,1.6
3079,Hércules,BRA,MF,Fortaleza,Série A,23,25.7,2317,ND,ND,1,33,691,29,78.8,,,24,0,5,4,,4,6,19,31,1.5,,,11,32,96,70,107,,,55,61,34,1138,1.5,1.5
3080,Pedro Henrique,BRA,DF,2 Teams,Série A,28,26.4,2372,ND,ND,0,30,818,121,79.6,,,4,3,1,1,,1,24,6,7,0.6,,,5,8,83,1,98,,,43,67,32,1497,0.1,0.6
3081,Paulo Henrique,BRA,DF,Vasco da Gama,Série A,27,28.0,2516,ND,ND,0,36,797,70,74.9,,,27,2,1,1,,1,46,25,35,1.9,,,29,56,86,113,162,,,96,142,62,1679,1.7,1.9
3082,Matheus Henrique,BRA,MFFW,Cruzeiro,Série A,26,13.5,1219,ND,ND,0,17,443,11,82.9,,,18,0,2,2,,2,7,14,13,1.0,,,8,22,56,50,72,,,25,32,15,720,0.3,1.0
3083,Luiz Henrique,BRA,FWMF,Botafogo (RJ),Série A,23,28.1,2533,ND,ND,3,38,773,29,76.3,,,62,0,10,6,,7,11,32,59,6.4,,,31,85,74,261,110,,,47,58,30,1197,3.8,7.1
