Rk,Player,Nation,Pos,Team,Comp,Age,90s,Min,Ht.,Wt.,Ast,Blocks,Carries,Clr,Cmp%,CS,CS%,Dis,Err,G+A,G-PK,GA,Gls,Int,KP,Mis,npxG,PKA,PKsv,PPA,PrgC,PrgP,PrgR,Recov,Save%,Saves,Tkl,Tkl+Int,TklW,Touches,xAG,xG
3998,Habib Diarra,SEN,"MF,FW",Strasbourg,Ligue 1,21,26.1,2352,1.79,74.0,5,25,709,46,83.0,,,22,3,9,2,,4,13,27,30,1.8,,,27,61,116,114,90,,,22,35,13,1214,4.5,3.3
3999,Moussa Diarra,MLI,DF,Alavés,La Liga,24,20.7,1866,1.83,68.0,0,14,499,46,80.2,,,15,1,0,0,,0,21,3,17,0.0,,,8,12,70,31,76,,,40,61,24,1012,0.1,0.0
4000,Mahamadou Diawara,FRA,MF,Le Havre,Ligue 1,20,6.5,582,ND,ND,1,11,180,11,82.8,,,7,1,1,0,,0,13,7,8,0.4,,,1,9,16,6,40,,,20,33,12,321,0.4,0.4
4001,Brahim Díaz,MAR,"FW,MF",Real Madrid,La Liga,25,15.4,1385,1.7,70.0,2,13,541,2,86.8,,,27,1,6,4,,4,4,23,44,5.3,,,19,39,74,110,54,,,25,29,19,833,3.3,5.3
4002,Tyler Dibling,ENG,"FW,MF",Southampton,Premier League,19,20.8,1874,ND,ND,0,17,558,16,81.3,,,55,1,2,2,,2,8,20,44,2.5,,,20,69,64,96,80,,,34,42,20,868,1.5,2.5
4003,Bamba Dieng,SEN,FW,Angers,Ligue 1,25,5.9,532,1.78,78.0,0,2,96,3,77.7,,,10,0,3,2,,3,0,1,11,2.3,,,3,6,7,35,5,,,4,4,1,157,0.0,3.1
4004,Eren Dinkçi,GER,"MF,FW",Freiburg,Bundesliga,23,13.3,1196,1.88,80.0,3,17,269,7,75.4,,,12,0,3,0,,0,7,23,31,1.1,,,11,33,35,71,55,,,21,28,13,552,2.2,1.1
4005,Sinaly Diomande,CIV,DF,Auxerre,Ligue 1,24,21.6,1945,1.84,79.0,2,10,698,100,84.6,,,6,2,5,3,,3,30,4,12,1.1,,,1,8,72,8,86,,,39,69,19,1223,0.6,1.1
4006,Issa Diop,FRA,DF,Fulham,Premier League,28,14.9,1339,1.94,90.0,0,2,533,72,87.5,,,2,2,0,0,,0,9,3,9,0.5,,,1,6,25,3,45,,,26,35,12,903,0.1,0.5
4007,Andy Diouf,FRA,MF,Lens,Ligue 1,22,24.7,2225,1.75,62.0,2,30,751,18,79.5,,,42,2,3,1,,1,15,33,75,2.9,,,31,82,116,94,154,,,37,52,26,1367,2.8,2.9
4008,Assane Dioussé,SEN,MF,Auxerre,Ligue 1,27,7.4,663,1.75,68.0,0,4,276,15,89.6,,,4,0,0,0,,0,12,2,6,0.1,,,0,1,33,6,41,,,15,27,7,431,0.2,0.1
4009,Matt Doherty,IRL,DF,Wolves,Premier League,33,23.4,2109,1.82,76.0,1,14,825,102,82.8,,,5,3,3,2,,2,22,12,11,1.0,,,15,29,79,41,106,,,38,60,21,1534,1.5,1.0
4010,Benjamín Domínguez,ARG,FW,Bologna,Serie A,21,14.2,1281,ND,ND,2,17,396,7,78.2,,,33,0,5,3,,3,4,10,45,2.2,,,13,50,32,123,62,,,18,22,7,555,0.8,2.2
4011,Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,Premier League,27,21.8,1963,1.79,73.0,1,11,471,54,86.7,,,12,1,1,0,,0,29,13,23,1.5,,,11,16,83,33,114,,,86,115,45,1218,1.3,1.5
4012,Désiré Doué,FRA,"FW,MF",Paris S-G,Ligue 1,20,19.2,1730,ND,ND,6,21,899,7,82.3,,,37,0,12,6,,6,13,55,54,5.1,,,51,97,139,232,93,,,48,61,30,1461,7.8,5.1
